GaiaEDR3,specClass
29480655742592,STAR
45698452054656,STAR
74698071455360,DA
74698071455360,DA
74698071455360,DA
74698071455360,DA
152935195517952,DA
152935195517952,DA
152935195517952,DA
186916976947328,DB
199286482883840,DA
288175125714560,DA
288175125714560,DA
294840915182080,DA
294840915182080,DA
298895364329216,DA
298895364329216,DA
298895364329216,DA
302503136630144,DC
1197162004242048,DA
1197162004242048,DA
1415208903935872,DA
1415208903935872,DA
1988982174958720,UNKN
1988982174958720,UNKN
2249085394364288,DA
2249085394364288,DA
2945626010974592,DA
3000154915786496,DA
3018713469617920,STAR
3082760021992064,DA
3143095722559872,DA
3154773738063232,DA
3250362530184064,DA
3357427475070208,DA
3733082494655616,DA
3752804984535936,DA
3799362429891328,DA
3819840833880704,DA
3942127143088128,DA
4025415149055872,DC
4039124684681216,DA_MS
4081563256565120,DZ
4093447430529920,DA
4238067569558272,DA
4404647876519040,DA
4408182634030080,DA
4684984686829568,DA
4684984686829568,DA
5253466557760640,DA
5256284056331776,DA
5266626337620992,DA
5526420319283584,DA
5819547542686720,DA
6061577539771008,DA_MS
6761481114849536,STAR
6769521293670528,DA
6790824331479168,DBA
6872772307840512,DA
6890433213424256,DA
6918986155511040,DA
7033270940879744,DA
7158988928491776,DA
9095916099213440,DA
9118456087945344,DA
9215934665355264,DA
9226689263787904,DA
9592517397869696,DA
9592517397869696,DA
12007117949000576,CV
36046114327338752,DA
36075324401936512,DA
36119884685761920,DA
36196060225789184,DA
36200973668718464,DA
36207059639735296,DA
36216023233614976,DA
36321786805002880,DA
36462863594067200,DA
45073276590017920,DA
45196318813004544,DA
45278782185566336,DB
45297409459299328,DA
45730612745268736,STAR
45750335236319360,DA
45819673186499456,DA
54866042543161728,DA
55103056018558592,DC
55770081619664768,DC
55981600168846080,DA
56048945255703680,DA
56048945255703680,DA
73531798613058176,DA
73623921366683008,DA
73668756530042112,DA
74124401020755200,DA
74183877727748736,DA
74267062654469632,DA
76585043619540608,DA
76615997448273408,DA
76693066341793664,DA
76813153627306624,DA_MS
76833975628931328,DA
76836419465447168,DA
76913488358361472,DB
76913488358361472,DB
76937810758080512,DAH
76959732271337856,DA
77031784642127744,STAR
77041508448140032,DA
77092670098689920,DA
