gaiaedr3,spectype
,DQZ
,DC
,DA
,DA
,DA+M
,DA+M
,DA+M
,DA
,D+M3
,sdOB
,DA+M
,DA1
,DA
,DA1-2
,sdB
,sdB+MS
,sdB
,DBA
,sdB
,DA+?
,DA+M
,DA
,sdB
,D
,DA
,DA+M
,DA+M
,DA+M
,DA+M
,sdB
,DA+M
,DA+M
,sd
,DA+M
,DA+M
,sdB
,DB+M
,DA+K
,DA+M
,DA+M
,DA+M
,sdB+MS
,DA+M
,WD+K
,sdB
,DA+M
,DA+M4
,DC10
,sdOB
,sdB+MS
,DA?
,sd
,DA
,DA
,WD+K
,DA
,DA
,DA+M
,DA+M
,DA+dM
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DZ
,DA
,DA
,DA
,DA
,DA
,DA
,DB?
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DB?
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB?
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DB
,DB
,DA
,DA
,DB
,DA
,DB?
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB?
,DA
,DA
,DB
,DA
,DZ
,DA
,DA
,DA
,DB
,DA
,DB?
,DO
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DB
,DA
,DB
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DB
,DB
,DA
,DA
,DB
,DA
,DB
,DB
,DA
,DA
,DA
,DB?
,DB
,DA
,DA
,DA?
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DB?
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DB?
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA?
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB?
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DB
,DA
,DA
,DB
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA?
,DA
,DB
,DB?
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DO
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DB?
,DA
,DA
,DZ
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DO
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB?
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DZ
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DB?
,DA
,DA
,DZ
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DC
,DA
,DB
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DZ
,DA
,DA
,DZ
,DA
,DA
,DA
,DO?
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DO
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,sdB+MS
,DB?
,DA
,DA
,DA
,DA
,DA
,D
,DA
,DA
,DB
,DA
,DA
,DA
,DO
,DB
,DA
,DA
,DA
,DA
,DB
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DZ?
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB?
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DB
,DZ
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DZ
,DA
,DA
,DA
,DA
,DA
,DA?
,DA
,DA
,DA
,DA
,DA
,DB
,D
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DZ
,DA
,DA?
,DB
,DA
,DB?
,DB
,DA
,DA
,DB
,DB?
,DB
,DA
,DA
,DA
,DA
,sdB
,DA
,DB
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DB
,DO
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA?
,DA
,DA
,DO
,DA
,DB
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DB
,DA
,DB?
,DA
,DA
,DA+M
,DA
,DA
,DA
,DB
,DA
,DB
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DB
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DB?
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA?
,DB
,DB
,DA
,DB
,DB?
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DZ
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DB?
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DA
,DA
,DB?
,DB
,DA
,DB
,DB
,DA
,DB?
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,DA
,DA
,DA
,DB
,DB?
,DB
,DA
,DA
,DA
,DB?
,DA:
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,D
,DA
,DA
,DA
,D
,D
,DA
,DA:
,DA:
,DA
,DA
,D
,DA
,DA
,DA:
,DA
,DA
,DA
,DB
,D
,CV
,DB
,D+?
,DC:
,DA
,DA
,DA:
,DA
,DA
,DA
,DA
,DA
,DA
,DA:
,DA:
,DA:
,DAE
,DA:
,DA:
,DA:
,DA
,DA
,DA
,D
,DA
,D
,DA
,DA
,DA
,DA
,DA
,DA
,DA:
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,D
,DA
,DA
,DA
,D
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,D
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,D
,DA
,DA
,D
,DA
,D
,DA
,D
,D
,DA
,D
,D
,D
,DA
,DZ
,D
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA:
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA
,DA:
,DA
,DA
,DA
,DA
,DA
,D
,DA
,DA
,DA
,DA
,DA
,DB
,DA
,D
,DA
,DA
,DA
,DA
,D
,DA
,DA
,D
,DB
,DA
,D
