GaiaDR3,SPPred
"   1268321022907264",DA
"   1534510211124352",DC
"   1559111783825792",DA
"   1608138835023488",DA
"   1880233603259648",DA
"   1973795170585088",DC
"   2021898804878976",DA
"   2555303678311296",DA
"   4719859820691584",DC
"   5526420319283584",DA
"   6407197852445440",DC
"   7027562929324416",DA
"   7158988928491776",DC
"   8578256576520320",DAH
"  12254267546754176",DA
"  13357661823203456",DA
"  13611477211053824",DAZ
"  13704038051270400",DC
"  14113296894405120",DC
"  14141304376849280",DA
"  14213489891987840",DA
"  14862584004642688",DC
"  15592281767723392",DQ
"  16227589035461376",DA
"  16426811093797760",DA
"  16599361404800256",DC
"  16679664408473344",DA
"  17033153101264640",DC
"  17054112541696000",DC
"  17293531198591232",DA
"  17709047809907584",DAH
"  18284088096006400",DC
"  18493721155296768",DA
"  18949090767841024",DA
"  18998908093499520",DA
"  19388307008211584",DC
"  19399306419780224",DQ
"  19693180966870656",DC
"  19817739313090688",DA
"  20284305905758336",DC
"  20484382662003968",DC
"  22346856575624192",DC
"  23344972615470720",DA
"  23720971231885696",DC
"  24684276562185600",DA
"  25405350031335296",DA
"  25475306458549376",DC
"  26090380135117056",DC
"  27015245508396544",DA
"  27643135366679936",DC
"  29413589605455616",DA
"  29813773183404416",DC
"  30048866808843648",DA
"  31047184711544832",DA
"  31047257726638592",DA
"  31067426892323584",DC
"  31315774786501120",DC
"  31322547949728256",DC
"  31865290082107520",DA
"  31888624639357952",DC
"  32752011850354816",DA
"  32983321608967168",DA
"  33656531962611072",DA
"  33728382471118720",DC
"  34033149055372032",DC
"  34881117333814144",DA
"  35328579914493184",DC
"  35497904701569920",DC
"  36204856318593280",DC
"  36207059639735296",DA
"  36918203143996544",DC
"  37136937238613888",DA
"  37846221020599808",DC
"  39124751182907520",DA
"  39305036729495936",DA
"  39387328302768640",DC
"  39938900885577600",DC
"  41026764562266368",DA
"  42174998299513728",DA
"  42197160330313088",DA
"  42833232103539840",DA
"  42871199614383616",DA
"  42871268333859584",DA
"  43755133947362816",DC
"  44134980855106944",DC
"  44478578238260864",DA
"  44556579141068544",DC
"  44901791432527232",DQ
"  44961023325490176",DC
"  45293488153371776",DC
"  45980377978968064",DA
"  46123555007543552",DC
"  46896958359881728",DA
"  47762235355241856",DC
"  47842813237885056",DA
"  48522895539002624",DC
"  48601544980508672",DC
"  48825707913208704",DC
"  48829075167625472",DC
"  48883840294734208",DC
"  49013483883923968",DA
"  50456318016101120",DAH
"  50593477796911104",DC
"  51090628850761088",DQ
"  51230060669059072",DC
"  51567821194916736",DC
"  53022195903806976",DA
"  53042472446551424",DA
"  53278867446391040",DAZ
"  53716846734195328",DA
"  54253618862057728",DA
"  54713901916661376",DC
"  55103056018558592",DC
"  55247298199862912",DA
"  55324577547215104",DA
"  55692089307977088",DC
"  55783726731081984",DC
"  56010088686601856",DC
"  56048945255703680",DA
"  56621554593127808",DC
"  57021123989934464",DA
"  57359563116500352",DA
"  59077760488621184",DA
"  59370127502651264",DA
"  59521580936483328",DC
"  59726644147616384",DA
"  60007152756147584",DC
"  61048665146205824",DC
"  61372578696143616",DC
"  61497407625478272",DA
"  61657897666474496",DC
"  61934562280099456",DC
"  62271429450749824",DA
"  62311183668001664",DA
"  62558500768907776",DA
"  63054590968017408",DA
"  63126196662620416",DA
"  63335859786366208",DA
"  63846445499673472",DA
"  64672350529217792",DC
"  65606312642395648",DA
"  65958916574337152",DA
"  66144699680456320",DA
"  66341576682958080",DA
"  66349346281437952",DA
"  66837563803594880",DC
"  67156078578905856",DC
"  67620897117741440",DA
"  68677351697821312",DC
"  68703293299374080",DA
"  68878768483539328",DC
"  69427837102594432",DA
"  69860735446872832",DC
"  69990202940592896",DC
"  70121805033332480",DC
"  70410942235044864",DA
"  71797662617360256",DA
"  71901497747584128",DC
"  71927271847167232",DA
"  75420415991971456",DC
"  75692923077284096",DC
"  76501064123487616",DA
"  77708843286683904",DC
"  77986298173874176",DQ
"  78629306318257536",DC
"  78649033103283584",DZ
"  79950305114153472",DC
"  80021395413450880",DA
"  80107603996819584",DC
"  81606375784491520",DC
"  81957772828837888",DQpec
"  82401833791866880",DA
"  82678738923759488",DA
"  82726911276981376",DA
"  85008707141970304",DC
"  85469849190835968",DA
"  85787470611883008",DA
"  86002459494919936",DA
"  86082208448194944",DC
"  86450304324886016",DA
"  87377467505518592",DC
"  87648226538760064",DC
"  87712165716505216",DC
"  88996326578456192",DC
"  89061369563264256",DC
"  89987639390218496",DA
"  90076974709491968",DC
"  90367383218249472",DA
"  90565849362482432",DA
"  91460813172927488",DC
"  91690164426711040",DA
"  91980130553425536",DAH
"  92009503837556096",DC
"  92597914738232448",DC
"  93002813806259584",DC
"  94276941624384000",DA
"  95297185335797120",DA
"  96095735719745280",DC
"  96217820165602048",DA
"  98035961426035712",DC
"  98075028448822656",DA
"  98092934167683072",DA
"  99064833727036160",DZ
"  99498964725981440",DAH
"  99915890086770176",DA
"  99989797884119040",DA
" 100445163201292800",DA
" 100695959227060480",DC
" 101673523847748736",DA
" 101854122928108288",DC
" 102038286830643840",DA
" 102390302349905024",DAH
" 102830351814677760",DA
" 103440095437050752",DA
" 104648944047154432",DA
" 105240786245136256",DC
" 105430868613160832",DC
" 105670871385474560",DA
" 105716359383595136",DA
" 105869848630802432",DA
" 106241174322991360",DA
" 106904970108616064",DA
" 108636215590811264",DC
" 109247788869176448",DA
" 110181373025187328",DA
" 110835311863083520",DA
" 112809652491865344",DA
" 113477949402940800",DC
" 113951254799398784",DC
" 114592338797528320",DA
" 114851999635497344",DA
" 115344095513403520",DA
" 115409280235239296",DA
" 116827856393605120",DA
" 117132318032317184",DC
" 117651695542992256",DA
" 117911562539967488",DC
" 118221002047148800",DA
" 118891502277780352",DA
