GaiaDR3,SpType
152935195517952,"DA "
288175125714560,"DA "
298895364329216,"DA "
1003751036985984,"DA "
1031410626486016,"DA "
1068931460633216,"DA "
1268321022907264,DA:
1534510211124352,DA:
1559111783825792,"DA "
1608138835023488,"DA "
1756366746717568,"DA "
1843503042736512,DZ:
1880233603259648,"DA "
1973795170585088,DQ:
2021898804878976,"DA "
2032825201677056,"DA "
2126489847988992,"DA "
2167171778391168,"DA "
2249085394364288,"DA "
2324848617925888,"DB "
2355291345706240,"DA "
2429680179572736,"DA "
2451532973306112,"DA "
2491119687018112,"DA "
2544510424850944,DC:
2555303678311296,"DA "
2815436961921152,DC:
2961465850236160,"DA "
3143095722559872,"DA "
3250362530184064,"DA "
3253626705360896,"DA "
3291181899433088,"DA "
3513248888669952,"DA "
3752804984535936,"DA "
3799362429891328,"DA "
4408182634030080,"DA "
4425950913768960,"DA "
4614375423939072,"DA "
4719859820691584,"DA "
4775252014535296,"DA "
5079503202624256,"DB "
5214949291312512,DA:
5253466557760640,"DA "
5314317654482816,DC:
5360565862060032,"DA "
5474605834008192,"DA "
5526420319283584,"DA "
5743642585443328,"DB "
5815866755599616,"DA "
5954061622850176,"DA "
5985500783764224,"DA "
6111910261050240,"DA "
6407197852445440,"DB "
6485331897541888,"DA "
6606385551366912,"DA "
6641226326002432,"DA "
6886344404532864,DC:
6886378764268672,"DA "
6918986155511040,"DA "
7027562929324416,"DA "
7033270940879744,"DA "
7158988928491776,"DA "
7532616723450368,"DA "
7633943591955072,DC:
7983450850640896,DB:
7989017127831296,"DA "
8053613436040704,"DB "
8443149790308608,"DB "
8578256576520320,"DA "
8579145634720896,"DA "
9226689263787904,"DA "
9500914335389952,"DC "
9735282111008384,"DA "
9739065977715456,DA:
10285381522061568,"DB "
10329533785902720,"DA "
10392446467166976,"DA "
10394817289107712,"DA "
10511541614952448,"DA "
10680655952597888,"DA "
10684091926446336,"DA "
10708762218478592,DA:
10835931905497344,"DB "
10877365454467712,"DB "
11250374774677632,"DA "
11438047665209600,"DA "
11491309555199872,"DB "
11560059096228736,"DA "
12057485028616192,"DA "
12254267546754176,"DA "
12340437474122368,"DA "
12371567397203712,"DA "
12431632514624512,"DZ "
12471554235860096,"DA "
12575771617707776,"DA "
12725885018932992,"DA "
13118101432723200,"DA "
13145039467659776,"DC "
13230973172987904,"DA "
13266672941303936,"DA "
13357661823203456,"DA "
13469296613857152,"DA "
13611477211053824,"DA "
13704038051270400,DA:
13887106737249152,"DC "
14068801033725952,"DA "
14113296894405120,"DA "
14141304376849280,"DA "
14213489891987840,"DA "
14250873286930048,DC:
14267503400361088,"DA "
14856811568563072,"DA "
14862584004642688,"DZ "
14878728786596480,"DA "
15102311898684160,"DA "
15123473202553088,"DB "
15255418893384320,"DA "
15375196941202432,DA:
15537920367060736,"DB "
15592281767723392,"DQ "
15822487720079360,"DA "
16166875378033664,"DA "
16227589035461376,"DA "
16426811093797760,"DA "
16599361404800256,DC:
16679664408473344,"DA "
16751094008913280,"DA "
16800782486322560,"DA "
17033153101264640,"DA "
17054112541696000,"DA "
17184816986496128,"DA "
17293531198591232,"DA "
17294390192055168,DC:
17483647926494720,"DC "
17709047809907584,"DA "
17859436089899392,"DZ "
17874279496535424,"DA "
18074528051956352,"DA "
18107753918733568,DA:
18117653818752512,"DA "
18284088096006400,"DA "
18346244863282048,"DA "
18480866317641216,"DA "
18493721155296768,"DA "
18529279189207168,"DA "
18547494145998848,"DA "
18679637404167424,"DA "
18681252311885312,DA:
18711282723250688,"DB "
18821989800177664,"DA "
18949090767841024,"DA "
18998908093499520,"DC "
19247810039585920,"DA "
19252624696630016,"DA "
19388307008211584,"DA "
19399306419780224,"DQ "
19400092398770176,"DA "
19424865769731840,"DA "
19693180966870656,"DA "
19817739313090688,"DA "
20121956141813632,"DA "
20284305905758336,DA:
20484382662003968,"DA "
20629312038385792,"DA "
20657968060279168,"DA "
20733353326620800,"DA "
21118525993775616,DA:
21213805547771904,"DA "
21521462645496192,DC:
21847265979206784,"DA "
21923505944081920,DA:
21937391572897024,"DC "
22028028268185600,"DA "
22087852867208576,"DA "
22118467394174848,"DA "
22346856575624192,DA:
22602316934913280,"DA "
22855208904337920,DA:
23131182028332544,"DA "
23222510212822784,"DA "
23283704907067264,"DA "
23344972615470720,"DA "
23497044522292352,"DA "
23531923952029952,"DA "
23569234332666368,"DA "
23616650771696000,"DA "
